Gene,ALL1,ALL2
A28102_at,151,263
AB000114_at,72,21
AB000115_at,281,250
AB000220_at,36,43
AB000409_at,-299,-103
AB000449_at,57,169
AB000450_at,186,219
AB000460_at,1647,2043
AB000462_at,137,188
AB000464_at,803,756
AB000466_at,-894,-812
AB000467_at,-632,-700
AB000468_at,378,249
AB000584_at,-26,-242
AB000895_at,-691,-369
AB000896_at,2,-14
AB000897_at,-156,-98
AB000905_at,155,131
AB001106_at,355,431
AB001325_at,1149,941
AB002314_at,-131,-95
AB002315_at,158,328
AB002318_at,1084,1215
AB002365_at,87,53
AB002366_at,125,-81
AB002380_at,11,20
AB002382_at,553,215
AB002409_at,152,104
AB002559_at,759,1656
AB003102_at,551,739
AB003103_at,34,37
AB003177_at,588,781
AB003698_at,129,182
AB004884_at,1128,944
AB006190_at,919,759
AC000061_cds2_at,399,219
AC000061_cds3_at,-206,-87
AC000062_at,20,13
AC000064_cds1_at,271,595
AC000064_cds2_at,78,142
AC000066_at,32,42
AC000099_at,245,125
AC000115_cds1_at,-98,-19
AC002045_xpt1_at,70,180
AC002073_cds1_at,146,224
AC002077_at,-260,-638
AC002086_at,117,0
AC002115_cds1_at,2236,5198
AC002115_cds3_at,729,533
AC002115_cds4_at,-1031,-1029
AC002115_rna2_at,362,387
AC002450_at,-28,36
AC002464_at,-294,33
AC002486_at,333,128
AD000092_cds1_at,207,-10
AD000092_cds2_at,-1305,-887
AD000684_cds1_at,-214,88
AD001527_cds1_at,141,199
AF000177_at,-97,348
AF000231_at,169,71
AF000234_at,-135,-27
AF000430_at,7,-5
AF000545_at,-273,-71
AF000560_at,457,-45
AF000562_at,1002,1152
AF000573_rna1_at,-62,-83
AF000959_at,-468,-829
AF001294_at,-154,-50
AF001620_at,-119,-12
AF002020_at,54,117
AF002224_at,180,372
AF002700_at,373,480
AF003743_at,484,485
AF005037_at,99,21
AF005043_at,65,92
AF005361_at,-60,62
AF005775_at,451,647
AF005887_at,197,119
AF006041_at,946,178
AF006084_at,1190,866
AF006087_at,370,1466
AF006609_at,-300,17
AF007111_at,330,43
AF007551_at,141,21
AF007875_at,260,362
AF008445_at,124,65
AF008937_at,339,453
AF009301_at,288,95
AF009368_at,1032,635
AF009426_at,36,58
AF009674_at,-66,-239
AF010193_at,87,548
AF012270_at,-12,139
AF014958_at,318,243
AF015910_at,1219,1055
AF015913_at,476,611
AF015950_at,-466,-49
AJ000480_at,895,749
AJ001047_at,-451,-108
AJ001421_at,687,829
AJ001487_at,-591,-415
D00017_at,-94,2072
D00591_at,172,87
D00596_at,1800,2629
D00632_at,194,287
D00654_at,-77,94
D00723_at,40,87
D00726_at,274,432
D00760_at,746,593
D00761_at,649,1420
D00762_at,645,782
D00763_at,1324,2304
D10202_at,42,82
D10495_at,-208,334
D10511_at,-66,58
D10522_at,397,515
D10523_at,415,641
D10656_at,210,166
D10704_at,-252,95
D10923_at,-36,23
D10995_at,350,249
D11086_at,1497,3649
D11094_at,-42,399
D11139_at,43,-155
D11151_at,96,75
D11428_at,-104,103
D12485_at,163,34
D12625_at,5,-36
D12676_at,-8,-177
D12686_at,-1247,-1695
D12763_at,-189,-330
D13118_at,3245,2925
D13168_at,37,22
D13264_at,21,21
D13305_at,-185,-297
D13315_at,660,1004
D13370_at,2028,1732
D13435_at,407,68
D13540_at,169,90
D13626_at,37,13
D13627_at,600,977
D13628_at,129,113
D13630_at,667,951
D13633_at,174,44
D13634_at,126,86
D13635_at,-147,12
D13636_at,-24,-134
D13637_at,98,138
D13639_at,4707,3367
D13640_at,656,185
D13641_at,307,1352
D13642_at,100,372
D13643_at,-741,-218
D13644_at,60,-10
D13645_at,-121,121
D13748_at,2434,6886
D13789_at,-330,-803
D13897_rna2_at,557,346
D13900_at,1634,1778
D13969_at,-243,-145
D13988_at,1797,860
D14043_at,1160,823
D14134_at,-177,-56
D14446_at,175,102
D14497_at,55,87
D14520_at,-86,-3
D14530_at,16642,15527
D14533_at,-89,-207
D14657_at,885,1239
D14658_at,1234,411
D14659_at,122,32
D14660_at,-5,-4
D14661_at,437,757
D14662_at,492,1210
D14663_at,438,739
D14664_at,21,82
D14678_at,-100,-25
D14686_at,310,294
D14689_at,353,498
D14694_at,1573,1962
D14695_at,185,824
D14710_at,3343,6088
D14811_at,109,574
D14812_at,2890,3286
D14822_at,-75,7
D14823_at,-61,26
D14827_at,-69,-161
D14838_at,-151,-52
D14874_at,163,176
D14878_at,644,754
D14889_at,663,601
D15049_at,53,-33
D15050_at,613,1487
D15057_at,338,425
D16181_at,14,45
D16217_at,874,344
D16227_at,-221,-32
D16294_at,362,503
D16350_at,-53,14
D16469_at,906,708
D16532_at,92,-63
D16562_at,2452,3874
D16581_at,952,2426
D16583_at,-977,-771
D16593_at,204,573
D16626_at,-136,-174
D16815_at,88,-30
D17357_at,134,56
D17390_at,-1129,-1172
D17391_at,-117,-82
D17400_at,-165,76
D17461_at,-594,-268
D17516_at,-41,-13
D17525_at,148,331
D17716_at,557,512
D21063_at,1121,1656
D21089_at,959,310
D21090_at,171,224
D21163_at,25,-1
D21205_at,-601,-722
D21239_at,-90,-70
D21255_at,-125,-83
D21260_at,1400,616
D21261_at,7819,10357
D21262_at,122,227
D21267_at,50,-13
D21337_at,73,85
D21851_at,99,77
D21852_at,304,705
D21853_at,554,663
D21878_at,-109,-33
D23660_at,10477,18420
D23662_at,1743,2941
